2020-04-12 10:07:40,519 [AUDIT] Token created by 'anonymous': tokenId='45509e2d-d623-4b2a-b268-317738e9bef8', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 11:18:03,970 [AUDIT] Token created by 'jfrt@01e5pxqvzkwc0t130mk2bw0mxb': tokenId='338b23ae-d846-45a9-8b84-da1573dd402b', issuer='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', subject='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', expiry=2532770283967, refreshable=false
2020-04-12 11:18:05,355 [AUDIT] Token created by 'anonymous': tokenId='4f0f3a8c-2fcd-4f25-aaf7-7dc2b45a5109', issuer='jfac@01e5pxqny0js8918xvkxp40ec3', subject='jfac@01e5pxqny0js8918xvkxp40ec3', expiry=1586690405354, refreshable=false
2020-04-12 11:18:07,129 [AUDIT] Token created by 'anonymous': tokenId='e98d04c0-7c20-4009-bb81-18b77e2023bb', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-04-12 11:18:07,134 [AUDIT] Token revoked by 'anonymous': tokenId='d66642bc-12bc-412a-91e1-8224109ed5fd', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-04-12 11:18:07,158 [AUDIT] Token created by 'jffe@000': tokenId='1b4c54fd-de0b-44c0-9387-8326bf4001d9', issuer='jffe@000', subject='jffe@000', expiry=1586690887157, refreshable=false
2020-04-12 11:19:04,136 [AUDIT] Token created by 'jffe@000': tokenId='ff78274c-ff48-4101-9107-ab21088dcaae', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1586690944133, refreshable=false
2020-04-12 11:19:04,216 [AUDIT] Token created by 'jffe@000': tokenId='8b094e6c-aba6-4ca9-b8a2-7f6f3eb1b324', issuer='jffe@000', subject='admin', expiry=1586692144212, refreshable=true
2020-04-12 11:19:04,217 [AUDIT] Token created by 'jffe@000': tokenId='71104e3c-8ac1-4651-935d-01e3a6bfe914', issuer='jffe@000', subject='admin', expiry=1586692144211, refreshable=true
2020-04-12 11:19:04,237 [AUDIT] Token created by 'jffe@000': tokenId='e4feeb42-f131-405f-a907-0d344ed7c02c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586690944236, refreshable=false
2020-04-12 11:19:04,242 [AUDIT] Token created by 'jffe@000': tokenId='caf18292-8991-4dbc-8f01-8ff2499c73dc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586690944240, refreshable=false
2020-04-12 11:19:04,243 [AUDIT] Token created by 'jffe@000': tokenId='62702619-9b0f-4641-a258-341e78a0e0ac', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586690944240, refreshable=false
2020-04-12 11:19:04,278 [AUDIT] Token created by 'jffe@000': tokenId='941370eb-ab13-4465-bd2b-07f49c749af9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586690944277, refreshable=false
2020-04-12 11:19:04,294 [AUDIT] Token created by 'jffe@000': tokenId='2fe60622-926f-4cd4-b762-922b556ac238', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586690944292, refreshable=false
2020-04-12 11:19:04,575 [AUDIT] Token created by 'jffe@000': tokenId='680d9a18-f38c-4085-bae1-66e892670b85', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586690944573, refreshable=false
2020-04-12 11:28:09,362 [AUDIT] Token created by 'jffe@000': tokenId='76cc9a79-c0c9-42de-b48f-c3b23ac370e0', issuer='jffe@000', subject='jffe@000', expiry=1586691489357, refreshable=false
2020-04-12 11:28:09,364 [AUDIT] Token created by 'jffe@000': tokenId='4d3a59c9-9ccf-4f95-b978-3eb49cfa03a6', issuer='jffe@000', subject='jffe@000', expiry=1586691489360, refreshable=false
2020-04-12 11:28:09,365 [AUDIT] Token created by 'jffe@000': tokenId='1444966f-6395-4ec0-a7c9-39a3f8b7e4b8', issuer='jffe@000', subject='jffe@000', expiry=1586691489361, refreshable=false
2020-04-12 11:28:09,365 [AUDIT] Token created by 'jffe@000': tokenId='aa3afe28-9843-4fe3-88be-23eadd354e40', issuer='jffe@000', subject='jffe@000', expiry=1586691489360, refreshable=false
2020-04-12 11:29:08,003 [AUDIT] Token created by 'jffe@000': tokenId='f022b6fe-deb9-418e-b903-b71169a9dd21', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586691548000, refreshable=false
2020-04-12 11:38:09,371 [AUDIT] Token created by 'jffe@000': tokenId='2fa0cfe7-7b0f-430c-9c8a-d0bed91ebe07', issuer='jffe@000', subject='jffe@000', expiry=1586692089367, refreshable=false
2020-04-12 11:38:09,373 [AUDIT] Token created by 'jffe@000': tokenId='a9f9ae32-aa17-4037-8e01-f84ed15e65eb', issuer='jffe@000', subject='jffe@000', expiry=1586692089370, refreshable=false
2020-04-12 11:38:09,374 [AUDIT] Token created by 'jffe@000': tokenId='28714032-149c-4797-9d4b-1dea3fd69ca1', issuer='jffe@000', subject='jffe@000', expiry=1586692089370, refreshable=false
2020-04-12 11:38:09,375 [AUDIT] Token created by 'jffe@000': tokenId='39e7c256-5f69-43a6-8aab-14de2eadd37f', issuer='jffe@000', subject='jffe@000', expiry=1586692089371, refreshable=false
2020-04-12 11:39:08,037 [AUDIT] Token created by 'jffe@000': tokenId='1ffa9e32-1a62-4919-9ff5-de03a96af89e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586692148033, refreshable=false
2020-04-12 11:47:26,470 [AUDIT] Token created by 'jffe@000': tokenId='ebbea90a-3a27-41ad-9ef8-52579c671b94', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1586692646469, refreshable=false
2020-04-12 11:47:26,502 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='8b094e6c-aba6-4ca9-b8a2-7f6f3eb1b324', tokenId='6f7216ae-27fb-40a5-bac5-e429fb0f2beb', issuer='jffe@000', subject='admin', expiry=1586693846499, refreshable=true
2020-04-12 11:47:26,502 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='8b094e6c-aba6-4ca9-b8a2-7f6f3eb1b324', tokenId='7a7f6436-f10e-427d-a4ed-ce5c536769a6', issuer='jffe@000', subject='admin', expiry=1586693846500, refreshable=true
2020-04-12 11:47:26,788 [AUDIT] Token created by 'jffe@000': tokenId='26181d31-1256-4817-83d2-272052beca0b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586692646787, refreshable=false
2020-04-12 11:48:09,387 [AUDIT] Token created by 'jffe@000': tokenId='127d931d-5cee-45fc-9a60-98cc5d59f59a', issuer='jffe@000', subject='jffe@000', expiry=1586692689381, refreshable=false
